Name,Area,Rating,Price,Cuisine
East Coast At Madras Square,Neelangarai,4.6,"₹1,700 for two","Italian, Continental, North Indian, Asian, Chinese, Desserts, Beverages"
Goldman’s Steakhouse,Nungambakkam,2.3,"₹1,000 for two","American, Mexican, Beverages"
Soy Soi,Kotturpuram,4.7,"₹1,400 for two","Chinese, Asian, Desserts, Beverages"
The Mayflower,Teynampet,4.4,"₹1,500 for two","Italian, Asian, Continental, European, Mediterranean, Healthy Food, Desserts, American"
Amelie's,Alwarpet,4.2,₹900 for two,"Fast Food, Continental, Italian, Desserts, Beverages, Shake"
Fromage,MRC Nagar,4.5,"₹1,000 for two","Cafe, Italian, French, European, American, Beverages"
Bay 6,Akkarai,3.9,"₹1,500 for two","Continental, Asian, North Indian, Thai"
The Thief,Nungambakkam,4.2,"₹1,800 for two","North Indian, Continental, Italian, Asian, Desserts, Beverages"
Sage and Lavender Bistro,Alwarpet,3,"₹1,000 for two","Continental, European, Asian"
The Living Room,Anna Nagar East,3.8,"₹1,800 for two","North Indian, South Indian, Italian, Fast Food"
Coal Barbecues,T. Nagar,4.3,"₹1,400 for two","North Indian, Chinese, Desserts"
27 Culinary Street,Mylapore,4.3,₹800 for two,"Chinese, Street Food, Fast Food, North Indian, Sichuan"
SpiceKlub,Nungambakkam,4.6,"₹1,500 for two","North Indian, Desserts, Beverages"
Wild Garden Cafe - Amethyst,Royapettah,4.3,"₹1,400 for two","Cafe, Continental, Chinese, Italian, Desserts, Shake, Beverages"
Barracuda Brew,Nungambakkam,3.6,"₹2,200 for two","North Indian, Continental, Chinese, Italian, Desserts"
Ministry Of Drinks - MOD,Nandanam,4.2,"₹1,500 for two","Finger Food, Italian, Chinese, North Indian"
Nasi And Mee,Nungambakkam,4.7,"₹1,200 for two","Asian, Japanese, Singaporean, Malaysian, Thai"
Dhaba - Estd 1986 Delhi,Ispahani Centre Nungambakkam,4.4,"₹2,000 for two","Mughlai, North Indian, Desserts, Beverages"
Purple Chameleon,Velachery,2.8,"₹1,500 for two","Bar Food, Beverages"
Trella,Jaag Hotels T.Nagar,3.8,"₹2,000 for two","Continental, Asian, Beverages, Desserts, Bar Food, Salad, Mexican, Italian"
Cafe De Bangkok,Nandanam,4.3,₹600 for two,"Continental, Thai, Asian, Italian, Beverages, Sichuan"
Hamsa,Adyar,4.6,"₹1,500 for two","North Indian, Desserts, Beverages"
10 Downing Street,T. Nagar,4.1,"₹1,500 for two","Finger Food, North Indian, Chinese, Continental"
Mount Road Social,E Hotel Royapettah,4.2,"₹1,500 for two","North Indian, Chinese, Biryani, Pizza, Pasta, Burger, Kebab, Rolls"
MKC - Madras Kitchen Company,The Westin Velachery,4.5,"₹1,200 for two","Cafe, Asian, North Indian, Desserts, Beverages"
Cafe De Paris,Foodies Kitchen,4.4,₹900 for two,"Continental, American, Italian, Bakery, Desserts, Beverages"
Locofeast,Nungambakkam,4.1,₹800 for two,"North Indian, Continental, Seafood, Fast Food, Beverages, Shake, Sichuan"
Hub at ECR,Injambakkam,4.3,"₹2,000 for two","Continental, North Indian, Italian, Pizza, Kebab, Seafood"
The Mayflower,Palavakkam,4.2,₹700 for two,"Continental, Asian, American, Mexican, Desserts"
The Bark,Alwarpet,4.3,"₹1,000 for two","Cafe, Mexican, Italian, Continental, Beverages, Coffee, Fast Food, Shake"
J.Hind - Grand By GRT Hotels,Grand by GRT Hotels,4.7,"₹2,500 for two","North Indian, Mughlai, South Indian, Beverages"
Toscano,Nungambakkam,4.5,"₹1,200 for two","Italian, Continental, Healthy Food, Desserts, Beverages, Shake"
Les Amis,Alwarpet,3.9,₹500 for two,"Desserts, Ice Cream, Continental, Waffle, Beverages, Healthy Food, Juices, Cafe"
Off The Record,Nungambakkam,4.3,"₹1,500 for two","European, Continental, North Indian"
Far East,Nungambakkam,4.2,₹600 for two,"Japanese, Sushi, Malaysian, Singaporean, Thai, Chinese, Sichuan"
Pantry d'or,Anna Nagar East,4.4,₹750 for two,"Continental, American, Italian, Desserts, Beverages, Shake, Waffle, Fast Food"
Mezze,Alwarpet,4.8,"₹1,000 for two","Middle Eastern, Continental, Beverages, Fast Food"
The Cycle Gap,Adyar,4.4,"₹1,500 for two","North Indian, Finger Food, Continental, Asian, Beverages, Desserts"
Tea Villa Cafe,T. Nagar,4.3,"₹1,000 for two","Continental, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages, Sichuan"
Watson's,T. Nagar,4.2,"₹1,000 for two","Asian, Continental, Finger Food, North Indian"
Bazaar - All Day Diner - Grand by GRT Hotels,Grand by GRT Hotels,4.4,"₹2,500 for two","North Indian, South Indian, Continental, Asian, Beverages, Desserts"
Pumpkin Tales,Abhiramapuram,4.5,"₹1,800 for two","Singaporean, Thai, Continental, Bakery, Desserts"
Nght Mrkt,Nungambakkam,3.6,₹800 for two,"Italian, Asian, North Indian, South Indian, Arabian, Momos"
The Tap House Restobar,T. Nagar,4.1,"₹1,200 for two","Chinese, North Indian, Fast Food, Beverages, Finger Food"
Aeseo,RA Puram,3.8,"₹2,600 for two",Korean
Fika,Adyar,3.6,"₹1,000 for two","Continental, Pasta, Pizza, Fast Food, Desserts, Beverages"
Chamiers Cafe,RA Puram,4.3,"₹1,000 for two","Cafe, Fast Food, Continental, Italian, Beverages"
The Greenhouse Barbecue,Kilpauk,4.3,"₹1,200 for two","BBQ, North Indian, Beverages"
Bread & Chocolate,Alwarpet,4,₹800 for two,"Bakery, Desserts, Fast Food, Beverages"
Cafe CakeBee,Alwarpet,4.5,₹650 for two,"Cafe, Italian, Bakery, Desserts, Beverages, Shake"
Annalakshmi Restaurant,Chetpet,4.1,"₹2,000 for two","North Indian, South Indian"
Asvah 24,Neelangarai,4.2,"₹1,700 for two","French, Italian, Continental"
Dank,T. Nagar,4.3,"₹2,000 for two","Continental, North Indian, Italian, Beverages, Desserts, Salad"
Koox,Novotel Nandanam,4.1,"₹4,000 for two","Japanese, Sushi, Sichuan"
The Republik,Adyar,4.1,"₹1,500 for two","Charcoal Chicken, South Indian, North Indian, Continental, Beverages"
Grill Box - Unlimited BBQ,Mylapore,4.4,"₹1,200 for two","North Indian, South Indian, Fast Food, BBQ, Desserts"
Crazy Ivan Resto Lounge,Thuraipakkam,4.3,"₹1,500 for two","North Indian, Chinese, Continental"
Sin & Tonic,T. Nagar,4.4,"₹1,500 for two","North Indian, Italian, BBQ, Wraps, Pizza, Desserts, Bar Food"
Royal Indianaa - The Accord Metropolitan,The Accord Metropolitan T. Nagar,4.5,"₹2,500 for two","South Indian, North Indian"
Madras Pavilion - ITC Grand Chola,ITC Grand Chola Guindy,4.5,"₹4,000 for two","North Indian, Chinese, Continental"
The Reef - Sheraton Grand,Sheraton Grand Neelangarai,4.4,"₹1,600 for two","North Indian, American, Continental, Beverages"
Patissez,Phoenix Market City Velachery,4.3,₹900 for two,"Cafe, Continental, European, Italian"
KoKoMMo,InterContinental Mahabalipuram Resort East Coast Road (ECR),3.9,"₹1,500 for two",Continental
Broken Bridge Cafe,Somerset Greenways,4.4,"₹1,200 for two","Cafe, North Indian, Continental, Beverages, Pizza, Shake"
Bayroot,Palavakkam,3.7,"₹1,800 for two","Mediterranean, Middle Eastern, Continental, Salad"
Ravi Mehra's Delhi Hotel,T. Nagar,3.7,₹650 for two,"Chinese, North Indian, Desserts, Fast Food"
Kipling Cafe,Kipling East Coast Road (ECR),4.1,"₹2,400 for two","Continental, Thai, North Indian, Desserts, Shake"
Savya Rasa,Kotturpuram,4.5,"₹1,600 for two","Chettinad, Andhra, Kerala, Mangalorean, South Indian"
The Wedding Biryani,Velachery,4.1,₹400 for two,"Biryani, Beverages"
BOATS - Based On A True Story,Besant Nagar,4.2,"₹1,800 for two","Continental, Chinese, North Indian"
Kebapci Anna Nagar,Anna Nagar East,3.9,₹500 for two,"Middle Eastern, Kebab, Rolls, Arabian, Turkish"
Villa 77,Adyar,3.8,"₹1,400 for two","Thai, Chinese, Salad, Mexican, Continental, Italian, Desserts, Sichuan"
Coffee? Since 1999,Thousand Lights,3.8,"₹1,200 for two","Coffee, Sandwich, Shake"
Seven Sins Bar & Pub,T. Nagar,3.4,"₹1,500 for two","South Indian, Italian, Thai, Chinese, Continental"
Pind,Velachery,4.3,₹900 for two,"North Indian, Chinese, Street Food, Beverages, Desserts, Shake, Sichuan"
Nandhana Palace,Egatoor,4.3,₹900 for two,"Biryani, Andhra, North Indian, South Indian, Beverages, Desserts"
Little Soi,Anna Nagar East,3.8,₹700 for two,"Asian, Thai, Sushi, Chinese, Sichuan"
The Patiala House,Chetpet,4.1,₹700 for two,"North Indian, Chinese, Beverages, Sichuan"
Ciclo Cafe,Kotturpuram,4.3,"₹1,100 for two","Cafe, Italian, Continental, Japanese, Desserts, Beverages, Waffle, Shake"
Take 2,Kodambakkam,4.4,"₹1,400 for two","North Indian, Chinese, Continental, South Indian, Sichuan"
Gully Baar,Kilpauk,4.4,"₹1,200 for two","Bar Food, Continental, Fast Food, Beverages, Seafood"
Black Orchid,RA Puram,4.1,"₹2,000 for two","Sushi, Asian, North Indian, Seafood"
The Void,Anna Nagar East,3.9,"₹1,100 for two","Chinese, Fast Food, South Indian, Chettinad, Desserts"
Tukaway,Nungambakkam,3.9,₹900 for two,"Cafe, Desserts, Beverages"
Benjarong,Alwarpet,4.7,"₹2,000 for two","Thai, Asian"
Beachville Coffee Roasters,Alwarpet,3.6,₹600 for two,"Cafe, Fast Food, Beverages, Desserts"
Dakshin - Crowne Plaza  Adyar Park,Crowne Plaza Adyar Park Alwarpet,4.6,"₹2,500 for two","South Indian, Kerala, Andhra, Fast Food"
Goddy's,Nungambakkam,4,₹800 for two,"Cafe, Continental, Beverages, Fast Food, Desserts, Shake, Italian"
Ottoman's Baklava,Thousand Lights,3.5,₹300 for two,Turkish
Gossip Fusion Bistro,Kanathur,4.9,"₹1,500 for two","Italian, Salad, Seafood, Kerala, North Indian, South Indian"
Bombay Brasserie,Nungambakkam,4.7,"₹1,500 for two","Modern Indian, Bar Food, Beverages"
Zaitoon,Velachery,4.1,"₹1,000 for two","North Indian, Arabian, Chinese, Kebab, Seafood, BBQ, Biryani"
Kappa Chakka Kandhari,Nungambakkam,4.6,"₹1,200 for two","Kerala, South Indian, Biryani, Seafood, Beverages, Desserts"
6th Avenue,Anna Nagar West,3.9,"₹1,700 for two","North Indian, Continental, Finger Food, Desserts, Asian, Sichuan"
Kommune,T. Nagar,4.4,"₹2,000 for two","Bar Food, Continental, Asian, Modern Indian"
The Angara Grill House,Chetpet,3.9,"₹1,400 for two","BBQ, North Indian"
Ciclo Cafe,Anna Nagar East,3,₹400 for two,"Continental, Italian"
Peshawri - ITC Grand Chola,ITC Grand Chola Guindy,4.6,"₹4,500 for two","North Indian, Mughlai, Kebab"
Lower Deck,Hotel Park Elanza Nungambakkam,2.8,"₹1,600 for two","Bar Food, Chinese, Pizza, Beverages"
Abid's,Chetpet,4.4,"₹1,400 for two","Seafood, Biryani, Hyderabadi, Arabian, North Indian, Chinese, Kerala"
The Leather Bar - The Park,The Park Nungambakkam,4.2,"₹3,000 for two",Finger Food
Ferrara Pizzeria,Nungambakkam,3.4,₹400 for two,"Pizza, Italian, Fast Food"
Madras Machan's,Karapakkam,4.1,₹700 for two,"South Indian, Chinese, Seafood, Tamil"
Lord of the Drinks,Nungambakkam,4.1,"₹1,900 for two","Fast Food, Japanese, Italian, North Indian, Chinese, Continental, Mexican, Beverages"
The Marina,Thousand Lights,4.8,"₹1,600 for two","Seafood, North Indian, Chinese, South Indian, Desserts"
Origin,Palavakkam,3.9,"₹2,000 for two","North Indian, Mediterranean, Continental, Chinese"
The Farm,Semmancheri,4.4,"₹1,500 for two","Steak, Pizza, North Indian, Juices"
Mamagoto,Nungambakkam,4.6,"₹1,800 for two","Asian, Chinese, Sushi, Thai"
Double Roti,Anna Nagar East,4.4,"₹1,000 for two","Sandwich, Italian, Burger, Fast Food, Beverages"
AB's - Absolute Barbecues,T. Nagar,4.8,"₹1,400 for two","North Indian, BBQ, Salad, Desserts"
The Board Room,Mylapore,4,₹500 for two,"Shake, Tea, Fast Food"
The Velveteen Rabbit,Mandaveli,4.3,"₹2,000 for two","Bar Food, Pizza, Continental, Desserts, Beverages"
Smoke Hub Barbeque,Porur,3.5,"₹1,500 for two","Mughlai, Chinese, North Indian, Desserts"
Meraki - Progressive Diner,Neelangarai,4.1,₹700 for two,"North Indian, Chinese, South Indian, Fast Food"
Orange Coconut,Thuraipakkam,4.2,"₹1,800 for two","Bar Food, Thai"
Drizzle By The Beach,Palavakkam,3.4,"₹1,000 for two","Continental, Italian, North Indian, Asian, Shake, Sichuan"
Cholan Mess,Kodambakkam,3.3,₹500 for two,"South Indian, Chinese, Biryani, Seafood, Sichuan"
Radio Room,Somerset Greenways,4.3,"₹2,000 for two","Italian, Continental, Beverages"
Little Italy,Nungambakkam,4.1,"₹1,500 for two","Italian, Mexican, Salad, Desserts, Beverages, Shake, Pizza, Pasta"
Mainland China,Anna Nagar West,4.2,"₹1,200 for two","Chinese, Momos, Thai, Asian, Seafood, Sushi, Beverages, Sichuan"
Barbeque Nation,T. Nagar,4.5,"₹1,600 for two","BBQ, Kebab, North Indian, Desserts, Beverages"
Absolute Thai,Foodies Kitchen,4.6,"₹1,000 for two","Thai, Asian"
Urban Spatula,Anna Nagar West,4.4,₹800 for two,"Continental, Seafood, Biryani, Italian, North Indian, Asian, Kebab, Sichuan"
Eating Circles,Alwarpet,4.7,₹350 for two,South Indian
Svah Smart Veg,Besant Nagar,2.8,"₹1,000 for two","Continental, North Indian, Fast Food, Pasta, Pizza, Desserts, Tea, Beverages"
Zaika Uttar Da,Velachery,4.1,"₹1,200 for two","North Indian, Chinese, Desserts, Beverages"
The Fat Boy,Alwarpet,4.4,₹800 for two,"Pizza, Sandwich, Beverages, Shake, Desserts, Italian, Cafe, Fast Food"
Kobe Sizzlers,Phoenix Market City Velachery,4.4,"₹1,100 for two","Salad, Continental, Sandwich, Burger, Fast Food, Chinese, Ice Cream, Beverages"
Canvas by Sketch,Alwarpet,4.1,"₹1,000 for two","Continental, Chinese, North Indian, Desserts"
Copper Chimney,Gopalapuram,4.3,"₹1,200 for two","North Indian, Mughlai, Biryani, Desserts, Beverages, Kebab"
Geetham Veg Restaurant,T. Nagar,3.9,₹800 for two,"South Indian, North Indian, Chinese, Sichuan, Mithai, Shake"
The Waterfall Restaurant,Vadapalani,4.1,₹800 for two,"Andhra, Chinese, North Indian, South Indian, Biryani, Desserts, Beverages, Sichuan"
Mexe,Alwarpet,3.9,₹500 for two,"Mexican, Desserts, Beverages"
Azzuri Bay,Adyar,4.3,"₹1,000 for two","Italian, Mediterranean, Thai, Asian, Seafood, Desserts, Beverages, Shake"
Santé Spa Cuisine,Nungambakkam,4.5,"₹1,300 for two","Italian, Continental, Healthy Food, Mediterranean, Fast Food, Shake"
Haunted,Anna Nagar East,3.9,"₹1,000 for two","North Indian, South Indian, Chinese, Mughlai, Beverages"
Time Square,T. Nagar,3.9,"₹1,600 for two","Asian, Continental, North Indian, Beverages"
Punjab Grill,Phoenix Market City Velachery,4.4,"₹2,500 for two","North Indian, Mughlai, Kebab, Beverages"
Food Nirvana,RA Puram,4.4,₹800 for two,"Continental, North Indian, Chinese, Italian"
Basil With A Twist,T. Nagar,4.5,"₹1,500 for two","Italian, Continental, Salad, Pasta, Beverages, Salad"
Blind Ch3mistry,Besant Nagar,4.5,₹700 for two,"Cafe, Italian, Continental, Desserts, Beverages, Shake"
Fruit Bae,Nungambakkam,New,₹350 for two,Beverages
WOW! China,Kodambakkam,3.7,₹500 for two,"Chinese, Asian, Sichuan"
Cafe G - Holiday Inn,Holiday Inn OMR IT Expressway,4,"₹2,000 for two","Continental, North Indian, Italian, Chinese, Fast Food, Shake"
Spectra - The Leela Palace,The Leela Palace MRC Nagar,4.5,"₹3,000 for two","North Indian, Asian, Mediterranean, Continental, Italian"
Chap Chay - The Raintree,Alwarpet,4.4,"₹2,500 for two","Chinese, Malaysian, Thai, Seafood, Sichuan"
Impasta,Nungambakkam,3.7,"₹1,200 for two","Beverages, Italian"
Crema Cheesecake Studio,Royapettah,3.9,₹600 for two,Desserts
The Yumm Factory,Jaag Hotels T.Nagar,3.5,₹700 for two,"South Indian, Biryani, North Indian, Desserts, Beverages, Sichuan, Chinese, Andhra"
Drunken Monkey,Ashok Nagar,3.9,₹450 for two,"Beverages, Healthy Food, Shake"
Another Kitchen,Adyar,3.7,"₹1,500 for two","Cafe, Korean, Japanese, BBQ"
601 - The Park,The Park Nungambakkam,4.2,"₹2,700 for two","North Indian, Continental, Italian, Desserts, Chinese, Beverages"
Tepin Chilli,Hotel Park Elanza Nungambakkam,3.7,"₹1,000 for two","South Indian, Biryani, North Indian, Chinese"
Riso,Kilpauk,4,"₹1,000 for two","Lebanese, Beverages, Desserts, Fast Food, Italian, Mexican, Pasta, Pizza"
Jalpaan,Saligramam,4.4,"₹1,100 for two","North Indian, Chinese, Fast Food, Street Food, Desserts"
Hungsters,Adyar,3.6,₹300 for two,"Chinese, Fast Food, Momos, Beverages, Desserts, Sichuan"
Tager,Nungambakkam,New,"₹1,200 for two","Burger, Sandwich, Continental"
Kuuraku,Vadapalani,4.6,"₹1,000 for two",Japanese
WOW! Momo,Nungambakkam,3.6,₹400 for two,"Momos, Fast Food, Tibetan"
Middle Of NoWhere,Mogappair,4.2,"₹1,500 for two","Continental, South Indian, North Indian, Finger Food, Asian, Beverages, Sichuan"
Haven Sampoorna,Besant Nagar,4.2,"₹1,000 for two","North Indian, Chinese, Italian, Beverages, Shake"
Buhari,Poonamalle,4.2,₹800 for two,"North Indian, Chinese, Biryani, Seafood, Mughlai, Kebab, Chettinad, Sichuan"
175 ECR,Sholinganallur,3.8,₹800 for two,"Continental, Chinese, North Indian, Italian, Desserts, Sichuan"
Mearth Cafe,Mandaveli,4.1,₹800 for two,"Cafe, Mexican, Continental, Italian, Healthy Food, Mediterranean"
